nivel,anio,tabla,check,resultado,detalle
REPARSE,2023,licencias_ccaa,row_count,OK,17 filas
REPARSE,2023,licencias_ccaa,content,OK,idéntico
REPARSE,2023,capturas,row_count,OK,705 filas
REPARSE,2023,capturas,content,OK,idéntico
REPARSE,2023,sueltas,row_count,OK,167 filas
REPARSE,2023,sueltas,content,OK,idéntico
REPARSE,2023,produccion,row_count,OK,51 filas
REPARSE,2023,produccion,content,OK,idéntico
REPARSE,2023,terrenos,row_count,OK,165 filas
REPARSE,2023,terrenos,content,OK,idéntico
REPARSE,2022,licencias_ccaa,row_count,OK,17 filas
REPARSE,2022,licencias_ccaa,content,OK,idéntico
REPARSE,2022,capturas,row_count,OK,738 filas
REPARSE,2022,capturas,content,OK,idéntico
REPARSE,2022,sueltas,row_count,OK,161 filas
REPARSE,2022,sueltas,content,OK,idéntico
REPARSE,2022,produccion,row_count,OK,58 filas
REPARSE,2022,produccion,content,OK,idéntico
REPARSE,2022,terrenos,row_count,OK,168 filas
REPARSE,2022,terrenos,content,OK,idéntico
REPARSE,2021,licencias_ccaa,row_count,OK,17 filas
REPARSE,2021,licencias_ccaa,content,OK,idéntico
REPARSE,2021,capturas,row_count,OK,769 filas
REPARSE,2021,capturas,content,OK,idéntico
REPARSE,2021,sueltas,row_count,OK,171 filas
REPARSE,2021,sueltas,content,OK,idéntico
REPARSE,2021,produccion,row_count,OK,57 filas
REPARSE,2021,produccion,content,OK,idéntico
REPARSE,2021,terrenos,row_count,OK,170 filas
REPARSE,2021,terrenos,content,OK,idéntico
REPARSE,2020,licencias_ccaa,row_count,OK,17 filas
REPARSE,2020,licencias_ccaa,content,OK,idéntico
REPARSE,2020,capturas,row_count,OK,776 filas
REPARSE,2020,capturas,content,OK,idéntico
REPARSE,2020,sueltas,row_count,OK,178 filas
REPARSE,2020,sueltas,content,OK,idéntico
REPARSE,2020,produccion,row_count,OK,47 filas
REPARSE,2020,produccion,content,OK,idéntico
REPARSE,2020,terrenos,row_count,OK,177 filas
REPARSE,2020,terrenos,content,OK,idéntico
REPARSE,2019,licencias_ccaa,row_count,OK,17 filas
REPARSE,2019,licencias_ccaa,content,OK,idéntico
REPARSE,2019,capturas,row_count,OK,780 filas
REPARSE,2019,capturas,content,OK,idéntico
REPARSE,2019,sueltas,row_count,OK,175 filas
REPARSE,2019,sueltas,content,OK,idéntico
REPARSE,2019,produccion,row_count,OK,53 filas
REPARSE,2019,produccion,content,OK,idéntico
REPARSE,2019,terrenos,row_count,OK,170 filas
REPARSE,2019,terrenos,content,OK,idéntico
REPARSE,2018,licencias_ccaa,row_count,OK,17 filas
REPARSE,2018,licencias_ccaa,content,OK,idéntico
REPARSE,2018,capturas,row_count,OK,786 filas
REPARSE,2018,capturas,content,OK,idéntico
REPARSE,2018,sueltas,row_count,OK,178 filas
REPARSE,2018,sueltas,content,OK,idéntico
REPARSE,2018,produccion,row_count,OK,53 filas
REPARSE,2018,produccion,content,OK,idéntico
REPARSE,2018,terrenos,row_count,OK,169 filas
REPARSE,2018,terrenos,content,OK,idéntico
REPARSE,2017,licencias_ccaa,row_count,OK,17 filas
REPARSE,2017,licencias_ccaa,content,OK,idéntico
REPARSE,2017,capturas,row_count,OK,789 filas
REPARSE,2017,capturas,content,OK,idéntico
REPARSE,2017,sueltas,row_count,OK,166 filas
REPARSE,2017,sueltas,content,OK,idéntico
REPARSE,2017,produccion,row_count,OK,58 filas
REPARSE,2017,produccion,content,OK,idéntico
REPARSE,2017,terrenos,row_count,OK,168 filas
REPARSE,2017,terrenos,content,OK,idéntico
REPARSE,2016,licencias_ccaa,row_count,OK,17 filas
REPARSE,2016,licencias_ccaa,content,OK,idéntico
REPARSE,2016,capturas,row_count,OK,787 filas
REPARSE,2016,capturas,content,OK,idéntico
REPARSE,2016,sueltas,row_count,OK,177 filas
REPARSE,2016,sueltas,content,OK,idéntico
REPARSE,2016,produccion,row_count,OK,66 filas
REPARSE,2016,produccion,content,OK,idéntico
REPARSE,2016,terrenos,row_count,OK,182 filas
REPARSE,2016,terrenos,content,OK,idéntico
REPARSE,2015,licencias_prov,row_count,OK,41 filas
REPARSE,2015,licencias_prov,content,OK,idéntico
REPARSE,2015,capturas,row_count,OK,789 filas
REPARSE,2015,capturas,content,OK,idéntico
REPARSE,2015,sueltas,row_count,OK,176 filas
REPARSE,2015,sueltas,content,OK,idéntico
REPARSE,2015,produccion,row_count,OK,50 filas
REPARSE,2015,produccion,content,OK,idéntico
REPARSE,2015,terrenos,row_count,OK,182 filas
REPARSE,2015,terrenos,content,OK,idéntico
REPARSE,2014,licencias_prov,row_count,OK,49 filas
REPARSE,2014,licencias_prov,content,OK,idéntico
REPARSE,2014,capturas,row_count,OK,785 filas
REPARSE,2014,capturas,content,OK,idéntico
REPARSE,2014,sueltas,row_count,OK,183 filas
REPARSE,2014,sueltas,content,OK,idéntico
REPARSE,2014,produccion,row_count,OK,63 filas
REPARSE,2014,produccion,content,OK,idéntico
REPARSE,2014,terrenos,row_count,OK,191 filas
REPARSE,2014,terrenos,content,OK,idéntico
REPARSE,2013,licencias_prov,row_count,OK,50 filas
REPARSE,2013,licencias_prov,content,OK,idéntico
REPARSE,2013,capturas,row_count,OK,752 filas
REPARSE,2013,capturas,content,OK,idéntico
REPARSE,2013,sueltas,row_count,OK,156 filas
REPARSE,2013,sueltas,content,OK,idéntico
REPARSE,2013,produccion,row_count,OK,67 filas
REPARSE,2013,produccion,content,OK,idéntico
REPARSE,2013,terrenos,row_count,OK,187 filas
REPARSE,2013,terrenos,content,OK,idéntico
REPARSE,2012,licencias_prov,row_count,OK,47 filas
REPARSE,2012,licencias_prov,content,OK,idéntico
REPARSE,2012,capturas,row_count,OK,677 filas
REPARSE,2012,capturas,content,OK,idéntico
REPARSE,2012,sueltas,row_count,OK,127 filas
REPARSE,2012,sueltas,content,OK,idéntico
REPARSE,2012,produccion,row_count,OK,52 filas
REPARSE,2012,produccion,content,OK,idéntico
REPARSE,2012,terrenos,row_count,OK,168 filas
REPARSE,2012,terrenos,content,OK,idéntico
REPARSE,2011,licencias_prov,row_count,OK,45 filas
REPARSE,2011,licencias_prov,content,OK,idéntico
REPARSE,2011,capturas,row_count,OK,684 filas
REPARSE,2011,capturas,content,OK,idéntico
REPARSE,2011,sueltas,row_count,OK,144 filas
REPARSE,2011,sueltas,content,OK,idéntico
REPARSE,2011,produccion,row_count,OK,53 filas
REPARSE,2011,produccion,content,OK,idéntico
REPARSE,2011,terrenos,row_count,OK,168 filas
REPARSE,2011,terrenos,content,OK,idéntico
REPARSE,2010,licencias_prov,row_count,OK,44 filas
REPARSE,2010,licencias_prov,content,OK,idéntico
REPARSE,2010,capturas,row_count,OK,633 filas
REPARSE,2010,capturas,content,OK,idéntico
REPARSE,2010,sueltas,row_count,OK,127 filas
REPARSE,2010,sueltas,content,OK,idéntico
REPARSE,2010,produccion,row_count,OK,49 filas
REPARSE,2010,produccion,content,OK,idéntico
REPARSE,2010,terrenos,row_count,OK,132 filas
REPARSE,2010,terrenos,content,OK,idéntico
REPARSE,2009,licencias_prov,row_count,OK,43 filas
REPARSE,2009,licencias_prov,content,OK,idéntico
REPARSE,2009,capturas,row_count,OK,551 filas
REPARSE,2009,capturas,content,OK,idéntico
REPARSE,2009,sueltas,row_count,OK,231 filas
REPARSE,2009,sueltas,content,OK,idéntico
REPARSE,2009,produccion,row_count,OK,64 filas
REPARSE,2009,produccion,content,OK,idéntico
REPARSE,2009,terrenos,row_count,OK,136 filas
REPARSE,2009,terrenos,content,OK,idéntico
REPARSE,2008,licencias_prov,row_count,OK,35 filas
REPARSE,2008,licencias_prov,content,OK,idéntico
REPARSE,2008,capturas,row_count,OK,446 filas
REPARSE,2008,capturas,content,OK,idéntico
REPARSE,2008,sueltas,row_count,OK,81 filas
REPARSE,2008,sueltas,content,OK,idéntico
REPARSE,2008,produccion,row_count,OK,53 filas
REPARSE,2008,produccion,content,OK,idéntico
REPARSE,2008,terrenos,row_count,OK,114 filas
REPARSE,2008,terrenos,content,OK,idéntico
REPARSE,2007,licencias_prov,row_count,OK,44 filas
REPARSE,2007,licencias_prov,content,OK,idéntico
REPARSE,2007,capturas,row_count,OK,799 filas
REPARSE,2007,capturas,content,OK,idéntico
REPARSE,2007,produccion,row_count,OK,56 filas
REPARSE,2007,produccion,content,OK,idéntico
REPARSE,2007,sueltas,row_count,OK,260 filas
REPARSE,2007,sueltas,content,OK,idéntico
REPARSE,2007,terrenos,row_count,OK,154 filas
REPARSE,2007,terrenos,content,OK,idéntico
REPARSE,2006,capturas,row_count,OK,728 filas
REPARSE,2006,capturas,content,OK,idéntico
REPARSE,2006,sueltas,row_count,OK,748 filas
REPARSE,2006,sueltas,content,OK,idéntico
REPARSE,2006,produccion,row_count,OK,471 filas
REPARSE,2006,produccion,content,OK,idéntico
REPARSE,2006,terrenos,row_count,OK,277 filas
REPARSE,2006,terrenos,content,OK,idéntico
REPARSE,2006,licencias_prov,row_count,OK,45 filas
REPARSE,2006,licencias_prov,content,OK,idéntico
