anio,ccaa,provincia,categoria,especie,n_capturas
2023,Andalucía,Almería,Caza Mayor,Arruí,34.0
2023,Andalucía,Almería,Caza Mayor,Cabra montés,559.0
2023,Andalucía,Almería,Caza Mayor,Ciervo,654.0
2023,Andalucía,Almería,Caza Mayor,Gamo,6.0
2023,Andalucía,Almería,Caza Mayor,Jabalí,8170.0
2023,Andalucía,Almería,Caza Menor de Aves,Acuáticas y anátidas,40.0
2023,Andalucía,Almería,Caza Menor de Aves,Codorniz,499.0
2023,Andalucía,Almería,Caza Menor de Aves,Córvidos,3795.0
2023,Andalucía,Almería,Caza Menor de Aves,Estornino,1067.0
2023,Andalucía,Almería,Caza Menor de Aves,Paloma,26183.0
2023,Andalucía,Almería,Caza Menor de Aves,Perdiz,28302.0
2023,Andalucía,Almería,Caza Menor de Aves,Zorzal,33674.0
2023,Andalucía,Almería,Caza Menor de Mamíferos,Conejo,52263.0
2023,Andalucía,Almería,Caza Menor de Mamíferos,Liebre,3561.0
2023,Andalucía,Almería,Caza Menor de Mamíferos,Zorro,2272.0
2023,Andalucía,Cádiz,Caza Mayor,Cabra montés,295.0
2023,Andalucía,Cádiz,Caza Mayor,Ciervo,5327.0
2023,Andalucía,Cádiz,Caza Mayor,Corzo,1258.0
2023,Andalucía,Cádiz,Caza Mayor,Gamo,4021.0
2023,Andalucía,Cádiz,Caza Mayor,Jabalí,5794.0
2023,Andalucía,Cádiz,Caza Mayor,Muflón,560.0
2023,Andalucía,Cádiz,Caza Menor de Aves,Acuáticas y anátidas,10020.0
2023,Andalucía,Cádiz,Caza Menor de Aves,Avefría,725.0
2023,Andalucía,Cádiz,Caza Menor de Aves,Becada,795.0
2023,Andalucía,Cádiz,Caza Menor de Aves,Codorniz,7389.0
2023,Andalucía,Cádiz,Caza Menor de Aves,Córvidos,4127.0
2023,Andalucía,Cádiz,Caza Menor de Aves,Estornino,3474.0
2023,Andalucía,Cádiz,Caza Menor de Aves,Faisán,1735.0
2023,Andalucía,Cádiz,Caza Menor de Aves,Paloma,84689.0
2023,Andalucía,Cádiz,Caza Menor de Aves,Perdiz,42228.0
2023,Andalucía,Cádiz,Caza Menor de Aves,Otras Caza Menor de Aves,430.0
2023,Andalucía,Cádiz,Caza Menor de Aves,Zorzal,137920.0
2023,Andalucía,Cádiz,Caza Menor de Mamíferos,Conejo,145834.0
2023,Andalucía,Cádiz,Caza Menor de Mamíferos,Liebre,3094.0
2023,Andalucía,Cádiz,Caza Menor de Mamíferos,Zorro,5889.0
2023,Andalucía,Córdoba,Caza Mayor,Cabra montés,13.0
2023,Andalucía,Córdoba,Caza Mayor,Ciervo,14070.0
2023,Andalucía,Córdoba,Caza Mayor,Corzo,10.0
2023,Andalucía,Córdoba,Caza Mayor,Gamo,1254.0
2023,Andalucía,Córdoba,Caza Mayor,Jabalí,9717.0
2023,Andalucía,Córdoba,Caza Mayor,Muflón,1445.0
2023,Andalucía,Córdoba,Caza Menor de Aves,Acuáticas y anátidas,2228.0
2023,Andalucía,Córdoba,Caza Menor de Aves,Avefría,412.0
2023,Andalucía,Córdoba,Caza Menor de Aves,Becada,189.0
2023,Andalucía,Córdoba,Caza Menor de Aves,Codorniz,9327.0
2023,Andalucía,Córdoba,Caza Menor de Aves,Córvidos,11740.0
2023,Andalucía,Córdoba,Caza Menor de Aves,Estornino,3374.0
2023,Andalucía,Córdoba,Caza Menor de Aves,Paloma,176180.0
2023,Andalucía,Córdoba,Caza Menor de Aves,Perdiz,45281.0
2023,Andalucía,Córdoba,Caza Menor de Aves,Otras Caza Menor de Aves,32.0
2023,Andalucía,Córdoba,Caza Menor de Aves,Zorzal,192932.0
2023,Andalucía,Córdoba,Caza Menor de Mamíferos,Conejo,107928.0
2023,Andalucía,Córdoba,Caza Menor de Mamíferos,Liebre,12441.0
2023,Andalucía,Córdoba,Caza Menor de Mamíferos,Zorro,11195.0
2023,Andalucía,Granada,Caza Mayor,Arruí,19.0
2023,Andalucía,Granada,Caza Mayor,Cabra montés,1042.0
2023,Andalucía,Granada,Caza Mayor,Ciervo,847.0
2023,Andalucía,Granada,Caza Mayor,Gamo,266.0
2023,Andalucía,Granada,Caza Mayor,Jabalí,12119.0
2023,Andalucía,Granada,Caza Mayor,Muflón,322.0
2023,Andalucía,Granada,Caza Menor de Aves,Acuáticas y anátidas,1000.0
2023,Andalucía,Granada,Caza Menor de Aves,Avefría,104.0
2023,Andalucía,Granada,Caza Menor de Aves,Becada,179.0
2023,Andalucía,Granada,Caza Menor de Aves,Codorniz,6345.0
2023,Andalucía,Granada,Caza Menor de Aves,Córvidos,32742.0
2023,Andalucía,Granada,Caza Menor de Aves,Estornino,28161.0
2023,Andalucía,Granada,Caza Menor de Aves,Paloma,170819.0
2023,Andalucía,Granada,Caza Menor de Aves,Perdiz,52144.0
2023,Andalucía,Granada,Caza Menor de Aves,Zorzal,224317.0
2023,Andalucía,Granada,Caza Menor de Mamíferos,Conejo,196788.0
2023,Andalucía,Granada,Caza Menor de Mamíferos,Liebre,15452.0
2023,Andalucía,Granada,Caza Menor de Mamíferos,Zorro,11732.0
2023,Andalucía,Huelva,Caza Mayor,Ciervo,11351.0
2023,Andalucía,Huelva,Caza Mayor,Gamo,504.0
2023,Andalucía,Huelva,Caza Mayor,Jabalí,5283.0
2023,Andalucía,Huelva,Caza Mayor,Muflón,575.0
2023,Andalucía,Huelva,Caza Menor de Aves,Acuáticas y anátidas,1534.0
2023,Andalucía,Huelva,Caza Menor de Aves,Avefría,242.0
2023,Andalucía,Huelva,Caza Menor de Aves,Becada,643.0
2023,Andalucía,Huelva,Caza Menor de Aves,Codorniz,2920.0
2023,Andalucía,Huelva,Caza Menor de Aves,Córvidos,1122.0
2023,Andalucía,Huelva,Caza Menor de Aves,Estornino,3271.0
2023,Andalucía,Huelva,Caza Menor de Aves,Paloma,38064.0
2023,Andalucía,Huelva,Caza Menor de Aves,Perdiz,21172.0
2023,Andalucía,Huelva,Caza Menor de Aves,Zorzal,137637.0
2023,Andalucía,Huelva,Caza Menor de Mamíferos,Conejo,14633.0
2023,Andalucía,Huelva,Caza Menor de Mamíferos,Liebre,4088.0
2023,Andalucía,Huelva,Caza Menor de Mamíferos,Zorro,2128.0
2023,Andalucía,Jaén,Caza Mayor,Arruí,1.0
2023,Andalucía,Jaén,Caza Mayor,Cabra montés,457.0
2023,Andalucía,Jaén,Caza Mayor,Ciervo,11198.0
2023,Andalucía,Jaén,Caza Mayor,Corzo,25.0
2023,Andalucía,Jaén,Caza Mayor,Gamo,5109.0
2023,Andalucía,Jaén,Caza Mayor,Jabalí,15304.0
2023,Andalucía,Jaén,Caza Mayor,Muflón,3219.0
2023,Andalucía,Jaén,Caza Menor de Aves,Acuáticas y anátidas,3010.0
2023,Andalucía,Jaén,Caza Menor de Aves,Avefría,618.0
2023,Andalucía,Jaén,Caza Menor de Aves,Becada,381.0
2023,Andalucía,Jaén,Caza Menor de Aves,Codorniz,4583.0
2023,Andalucía,Jaén,Caza Menor de Aves,Córvidos,21432.0
2023,Andalucía,Jaén,Caza Menor de Aves,Estornino,14700.0
2023,Andalucía,Jaén,Caza Menor de Aves,Paloma,182710.0
2023,Andalucía,Jaén,Caza Menor de Aves,Perdiz,48385.0
2023,Andalucía,Jaén,Caza Menor de Aves,Otras Caza Menor de Aves,88.0
2023,Andalucía,Jaén,Caza Menor de Aves,Zorzal,316327.0
2023,Andalucía,Jaén,Caza Menor de Mamíferos,Conejo,214901.0
2023,Andalucía,Jaén,Caza Menor de Mamíferos,Liebre,10454.0
2023,Andalucía,Jaén,Caza Menor de Mamíferos,Zorro,12880.0
2023,Andalucía,Málaga,Caza Mayor,Cabra montés,368.0
2023,Andalucía,Málaga,Caza Mayor,Ciervo,987.0
2023,Andalucía,Málaga,Caza Mayor,Corzo,1.0
2023,Andalucía,Málaga,Caza Mayor,Gamo,99.0
2023,Andalucía,Málaga,Caza Mayor,Jabalí,9716.0
2023,Andalucía,Málaga,Caza Mayor,Muflón,336.0
2023,Andalucía,Málaga,Caza Menor de Aves,Acuáticas y anátidas,432.0
2023,Andalucía,Málaga,Caza Menor de Aves,Avefría,100.0
2023,Andalucía,Málaga,Caza Menor de Aves,Becada,640.0
2023,Andalucía,Málaga,Caza Menor de Aves,Codorniz,4466.0
2023,Andalucía,Málaga,Caza Menor de Aves,Córvidos,440.0
2023,Andalucía,Málaga,Caza Menor de Aves,Estornino,1462.0
2023,Andalucía,Málaga,Caza Menor de Aves,Faisán,10.0
2023,Andalucía,Málaga,Caza Menor de Aves,Paloma,41957.0
2023,Andalucía,Málaga,Caza Menor de Aves,Perdiz,35892.0
2023,Andalucía,Málaga,Caza Menor de Aves,Zorzal,121272.0
2023,Andalucía,Málaga,Caza Menor de Mamíferos,Conejo,66155.0
2023,Andalucía,Málaga,Caza Menor de Mamíferos,Liebre,3259.0
2023,Andalucía,Málaga,Caza Menor de Mamíferos,Zorro,3401.0
2023,Andalucía,Sevilla,Caza Mayor,Cabra montés,38.0
2023,Andalucía,Sevilla,Caza Mayor,Ciervo,4796.0
2023,Andalucía,Sevilla,Caza Mayor,Corzo,23.0
2023,Andalucía,Sevilla,Caza Mayor,Gamo,421.0
2023,Andalucía,Sevilla,Caza Mayor,Jabalí,8993.0
2023,Andalucía,Sevilla,Caza Mayor,Muflón,534.0
2023,Andalucía,Sevilla,Caza Menor de Aves,Acuáticas y anátidas,10408.0
2023,Andalucía,Sevilla,Caza Menor de Aves,Avefría,880.0
2023,Andalucía,Sevilla,Caza Menor de Aves,Becada,397.0
2023,Andalucía,Sevilla,Caza Menor de Aves,Codorniz,9160.0
2023,Andalucía,Sevilla,Caza Menor de Aves,Córvidos,3028.0
2023,Andalucía,Sevilla,Caza Menor de Aves,Estornino,4463.0
2023,Andalucía,Sevilla,Caza Menor de Aves,Paloma,124623.0
2023,Andalucía,Sevilla,Caza Menor de Aves,Perdiz,65642.0
2023,Andalucía,Sevilla,Caza Menor de Aves,Otras Caza Menor de Aves,100.0
2023,Andalucía,Sevilla,Caza Menor de Aves,Zorzal,190986.0
2023,Andalucía,Sevilla,Caza Menor de Mamíferos,Conejo,213573.0
2023,Andalucía,Sevilla,Caza Menor de Mamíferos,Liebre,13958.0
2023,Andalucía,Sevilla,Caza Menor de Mamíferos,Zorro,7454.0
2023,Aragón,Huesca,Caza Mayor,Cabra montés,27.0
2023,Aragón,Huesca,Caza Mayor,Ciervo,1557.0
2023,Aragón,Huesca,Caza Mayor,Corzo,6118.0
2023,Aragón,Huesca,Caza Mayor,Rebeco,522.0
2023,Aragón,Teruel,Caza Mayor,Cabra montés,1233.0
2023,Aragón,Teruel,Caza Mayor,Ciervo,2760.0
2023,Aragón,Teruel,Caza Mayor,Corzo,5112.0
2023,Aragón,Zaragoza,Caza Mayor,Cabra montés,458.0
