anio,ccaa,licencias_expedidas,importe_expedidas,lic_interautonómicas,importe_interauton,lic_vigentes_anteriores
2023,Andalucía,113032.0,2204980.0,,,518540.0
2023,Aragón,33089.0,1272449.82,3211.0,224770.0,12402.0
2023,Asturias,6853.0,794030.9,1026.0,71820.0,2513.0
2023,Baleares,9832.0,205568.28,,,20218.0
2023,C. Valenciana,35653.0,411824.87,670.0,46900.0,0.0
2023,Canarias,13744.0,0.0,,,13765.0
2023,Cantabria,8715.0,155102.0,,,13673.0
2023,Castilla y León,119854.0,684040.0,9907.0,693490.0,0.0
2023,Castilla-La Mancha,96080.0,2329969.17,,,13190.0
2023,Cataluña,32463.0,898766.0,,,8549.0
2023,Extremadura,23767.0,44148023.0,386.0,27020.0,57772.0
2023,Galicia,34322.0,863015.01,416.0,29120.0,0.0
2023,La Rioja,4875.0,131266.26,,,4562.0
2023,Madrid,9771.0,247295.9,3749.0,262430.0,29544.0
2023,Murcia,12439.0,79861.0,,,4615.0
2023,Navarra,19154.0,265474.0,,,0.0
2023,País Vasco,16998.0,152283.0,,,0.0
2022,Andalucía,129714.0,2807924.7300000004,,,494669.0
2022,Aragón,30093.0,1055684.08,3365.0,235550.0,12298.0
2022,Asturias,6024.0,267097.2,1781.0,124670.0,7545.0
2022,Baleares,10616.0,194420.01,,,16874.0
2022,C. Valenciana,34274.0,531449.0,599.0,41930.0,0.0
2022,Canarias,172.0,0.0,,,11980.0
2022,Cantabria,9901.0,173660.0,,,13236.0
2022,Castilla y León,85429.0,3572241.61,15416.0,1079120.0,0.0
2022,Castilla-La Mancha,94784.0,2553750.5,,,20979.0
2022,Cataluña,34201.0,897722.0,,,8443.0
2022,Extremadura,23599.0,821205.59,518.0,36260.0,59194.0
2022,Galicia,34708.0,901367.3600000001,678.0,47460.0,0.0
2022,La Rioja,5237.0,133783.92,,,4381.0
2022,Madrid,9718.0,247340.0,4115.0,288050.0,28305.0
2022,Murcia,9616.0,224341.28,,,6918.0
2022,Navarra,19246.0,266749.56,,,0.0
2022,País Vasco,31383.0,291127.87,,,0.0
2021,Andalucía,220594.0,3548003.4399999995,,,715250.0
2021,Aragón,30273.0,1062864.56,3086.0,216020.0,13498.0
2021,Asturias,5130.0,196397.96,1553.0,108710.0,7877.0
2021,Baleares,9702.0,161156.71,,,9807.0
2021,C. Valenciana,33702.0,442195.0,485.0,33950.0,
2021,Canarias,277.0,8199.470000000001,,,13452.0
2021,Cantabria,9190.0,115753.0,,,12042.0
2021,Castilla y León,83789.0,3695859.2500000005,14996.0,1049720.0,
2021,Castilla-La Mancha,88721.0,3857412.58,,,19623.0
2021,Cataluña,33368.0,875688.0,,,7210.0
2021,Extremadura,24217.0,612118.5117861496,476.0,33320.0,77110.0
2021,Galicia,36089.0,944678.47,591.0,41370.0,
2021,La Rioja,5393.0,137769.08,,,4303.0
2021,Madrid,10569.0,278055.9,3987.0,279090.0,26798.0
2021,Murcia,11236.0,158069.0,10.0,700.0,6918.0
2021,Navarra,21489.0,257868.0,,,
2021,País Vasco,32100.0,298847.38,,,
2020,Andalucía,217779.0,3640694.0,,,730144.0
2020,Aragón,32459.0,1057501.77,92.0,6440.0,
2020,Asturias,5940.0,236746.8,1505.0,105350.0,9201.0
2020,Baleares,9929.0,157796.28,,,17365.0
2020,C. Valenciana,39182.0,514349.74,314.0,21980.0,17294.0
2020,Canarias,746.0,0.0,,,12706.0
2020,Cantabria,7958.0,141527.0,,,10253.0
2020,Castilla y León,82237.0,3644470.0,14068.0,984760.0,0.0
2020,Castilla-La Mancha,82165.0,3551393.3099999996,,,18398.0
2020,Cataluña,34933.0,872096.0,,,7811.0
2020,Extremadura,27898.0,705160.93,376.0,26320.0,75869.0
2020,Galicia,36072.0,934243.43,372.0,26040.0,0.0
2020,La Rioja,5069.0,129492.31,,,4465.0
2020,Madrid,13320.0,487454.0,2530.0,177100.0,26693.0
2020,Murcia,9037.0,198255.98,0.0,0.0,9037.0
2020,Navarra,20522.0,246264.0,,,
2020,País Vasco,33980.0,331622.15,,,
2019,Andalucía,237679.0,3703203.8699999996,,,746563.0
2019,Aragón,43403.0,1087377.0,2133.0,149310.0,
2019,Asturias,5940.0,236746.8,1566.0,109620.0,
2019,Baleares,10289.0,159149.51,,,17193.0
2019,C. Valenciana,35221.0,515523.0,75.0,5250.0,
2019,Canarias,14913.0,341849.0,,,
2019,Cantabria,10394.0,170955.0,,,
2019,Castilla y León,87457.0,3830809.0,9261.0,648270.0,
2019,Castilla-La Mancha,96360.0,4082313.4,,,15081.0
2019,Cataluña,35049.0,955290.0,,,8481.0
2019,Extremadura,26690.0,811109.54,150.0,10500.0,78786.0
2019,Galicia,38014.0,977699.1599999999,301.0,21070.0,
2019,La Rioja,6083.0,155395.88,,,3070.0
2019,Madrid,15622.0,587946.4,4776.0,334320.0,25400.0
2019,Murcia,9988.0,310217.5,90.0,6300.0,9988.0
2019,Navarra,20077.0,240924.0,,,
2019,País Vasco,32119.0,328833.0,,,
2018,Andalucía,235094.0,3541435.0,,,520566.0
2018,Aragón,44958.0,1166840.0,1864.0,130480.0,
2018,Asturias,5940.0,236746.8,1304.0,91280.0,9201.0
2018,Baleares,10663.0,599310.96,,,20629.0
2018,C. Valenciana,36829.0,536330.0,172.0,12040.0,
2018,Canarias,14913.0,341849.0,,,
2018,Cantabria,10394.0,170955.0,,,
2018,Castilla y León,89131.0,3860117.0,8926.0,624820.0,
2018,Castilla-La Mancha,105090.0,4264271.92,,,6631.0
2018,Cataluña,37481.0,928860.0,,,8319.0
2018,Extremadura,32364.0,1086901.44,472.0,33040.0,67914.0
2018,Galicia,39421.0,1009806.1100000001,774.0,54180.0,
2018,La Rioja,7098.0,181325.0,,,2531.0
2018,Madrid,16321.0,606731.4,4322.0,302540.0,24698.0
2018,Murcia,10972.0,340790.32,,,9125.0
2018,Navarra,20698.0,248376.0,,,
2018,País Vasco,34350.0,277569.11,,,
2017,Andalucía,244886.0,3691457.54,,,520075.0
2017,Aragón,45393.0,1196092.0,2837.0,198590.0,
2017,Asturias,,,1854.0,129780.0,
2017,Baleares,11735.0,459676.0,,,20084.0
2017,C. Valenciana,49089.0,647389.0,69.0,4830.0,
2017,Canarias,13131.0,302013.0,,,
2017,Cantabria,10394.0,170955.0,,,4397.0
2017,Castilla y León,89172.0,3860940.0,19202.0,1344140.0,
2017,Castilla-La Mancha,107908.0,4808070.8,,,6703.0
2017,Cataluña,41081.0,1110371.0,,,7434.0
2017,Extremadura,34506.0,1068422.33,755.0,52850.0,74247.0
2017,Galicia,42407.0,1095357.34,1516.0,106120.0,
2017,La Rioja,7810.0,199514.0,,,2529.0
2017,Madrid,17615.0,626892.7,8282.0,579740.0,23388.0
2017,Murcia,11273.0,350139.38,,,10310.0
2017,Navarra,23563.0,282756.0,,,
2017,País Vasco,35757.0,349145.48,,,
2016,Andalucía,252255.0,3713772.16,,,778369.0
2016,Aragón,50044.0,1254087.0,1051.0,73570.0,
2016,Asturias,7541.0,326579.76,594.0,41580.0,13337.0
2016,Baleares,12420.0,472759.35,,,20209.0
2016,C. Valenciana,42734.0,559642.0,,,
2016,Canarias,15256.0,351688.0,,,
2016,Cantabria,10208.0,113419.36,,,3463.0
2016,Castilla y León,90827.0,3842381.0,7905.0,553350.0,16202.0
2016,Castilla-La Mancha,106406.0,4732094.85,,,13213.0
2016,Cataluña,42087.0,1082806.0,,,7308.0
2016,Extremadura,40684.0,705948.64,318.0,22260.0,47913.0
2016,Galicia,42606.0,1054371.59,680.0,47600.0,
2016,La Rioja,8205.0,216705.12,,,2413.0
2016,Madrid,17979.0,628527.9,3590.0,251300.0,26222.0
2016,Murcia,13342.0,360234.0,,,648.0
2016,Navarra,23387.0,280644.0,,,
2016,País Vasco,36658.0,361398.83999999997,,,
