anio,ccaa,provincia,licencias_expedidas,importe_expedidas,lic_vigentes_anteriores
2015,Andalucía,(Total CCAA),254161.0,3765024.31,544232.0
2015,Aragón,(Total CCAA),50947.0,1305600.47,
2015,Asturias,Asturias,7054.0,263005.0,11304.0
2015,Baleares,Baleares,11766.0,,5762.0
2015,C. Valenciana,Alicante,12733.0,224542.6,
2015,C. Valenciana,Castellón,15226.0,208075.86,1586.0
2015,C. Valenciana,Valencia,16606.0,340706.28,14737.0
2015,Canarias,Las Palmas,8602.0,192174.0,
2015,Canarias,Tenerife,7744.0,238953.0,
2015,Cantabria,Cantabria,6368.0,68012.59,4300.0
2015,Castilla y León,Ávila,3473.0,144361.0,
2015,Castilla y León,Burgos,3730.0,151696.0,
2015,Castilla y León,León,6468.0,251094.0,
2015,Castilla y León,Palencia,3666.0,143978.0,
2015,Castilla y León,Salamanca,3517.0,136394.0,
2015,Castilla y León,Segovia,1490.0,60258.0,
2015,Castilla y León,Soria,2416.0,106822.0,
2015,Castilla y León,Valladolid,67304.0,2833932.0,37978.0
2015,Castilla y León,Zamora,4047.0,142829.0,
2015,Castilla-La Mancha,Albacete,11624.0,520169.71,4599.0
2015,Castilla-La Mancha,Ciudad Real,17650.0,769815.88,4847.0
2015,Castilla-La Mancha,Cuenca,12516.0,543430.69,2709.0
2015,Castilla-La Mancha,Guadalajara,8982.0,404528.2,2258.0
2015,Castilla-La Mancha,Toledo,53905.0,2377174.67,7993.0
2015,Cataluña,Barcelona,14606.0,378632.9,2376.0
2015,Cataluña,Gerona,10654.0,275560.1,939.0
2015,Cataluña,Lérida,10245.0,261614.2,790.0
2015,Cataluña,Tarragona,12332.0,319221.1,1345.0
2015,Extremadura,(Total CCAA),42813.0,839135.0,38476.0
2015,Galicia,La Coruña,14190.0,359965.09,
2015,Galicia,Lugo,9916.0,250791.6,
2015,Galicia,Orense,9227.0,228028.59,
2015,Galicia,Pontevedra,11154.0,284409.43,
2015,Galicia,Fuera de la C.A.,1459.0,37647.39,
2015,La Rioja,La Rioja,8586.0,244998.0,2096.0
2015,Madrid,Madrid,18649.0,451969.65,24226.0
2015,Murcia,Murcia,9943.0,266527.07,586.0
2015,Navarra,Navarra,21218.0,254616.0,
2015,País Vasco,Álava,7614.0,65653.97,
2015,País Vasco,Guipúzcoa,16561.0,161875.25,
2015,País Vasco,Vizcaya,12291.0,133208.0,
2014,Andalucía,Almería,21630.0,378639.0,49105.0
2014,Andalucía,Cádiz,22449.0,321922.0,50987.0
2014,Andalucía,Córdoba,40002.0,551703.0,84348.0
2014,Andalucía,Granada,30488.0,465044.0,65425.0
2014,Andalucía,Huelva,23232.0,371161.0,45955.0
2014,Andalucía,Jaén,30958.0,447258.0,62306.0
2014,Andalucía,Málaga,25499.0,395501.0,60242.0
2014,Andalucía,Sevilla,55829.0,780377.0,130276.0
2014,Aragón,(Total CCAA),50814.0,1335459.0,11784.0
2014,Asturias,Asturias,7127.0,274673.3,
2014,Baleares,Baleares,12435.0,,9627.0
2014,C. Valenciana,Alicante,14850.0,185625.0,
2014,C. Valenciana,Castellón,16099.0,201237.5,
2014,C. Valenciana,Valencia,20911.0,261387.5,
2014,Canarias,Las Palmas,6375.0,144829.59,
2014,Canarias,Tenerife,9057.0,243951.84,
2014,Cantabria,Cantabria,4961.0,54924.27,6934.0
2014,Castilla y León,Ávila,3769.0,152836.0,629.0
2014,Castilla y León,Burgos,4921.0,205630.0,953.0
2014,Castilla y León,León,6948.0,271698.0,1924.0
2014,Castilla y León,Palencia,4996.0,198576.0,1201.0
2014,Castilla y León,Salamanca,3772.0,147755.0,975.0
2014,Castilla y León,Segovia,1920.0,77030.0,404.0
2014,Castilla y León,Soria,2660.0,120267.0,396.0
2014,Castilla y León,Valladolid,68205.0,2838617.0,10576.0
2014,Castilla y León,Zamora,4212.0,150587.0,985.0
2014,Castilla-La Mancha,Albacete,13341.0,595380.0,5940.0
2014,Castilla-La Mancha,Ciudad Real,20036.0,892293.36,6360.0
2014,Castilla-La Mancha,Cuenca,14448.0,627907.71,3566.0
2014,Castilla-La Mancha,Guadalajara,13261.0,608405.61,2599.0
2014,Castilla-La Mancha,Toledo,42353.0,1868224.21,10298.0
2014,Cataluña,Barcelona,17269.0,430245.3,2572.0
2014,Cataluña,Gerona,12112.0,302238.6,897.0
2014,Cataluña,Lérida,11352.0,278921.1,875.0
2014,Cataluña,Tarragona,13127.0,322292.6,1537.0
2014,Extremadura,Badajoz,31864.0,637680.71,27615.0
2014,Extremadura,Cáceres,18982.0,379886.49,16451.0
2014,Galicia,La Coruña,14522.0,372076.64,
2014,Galicia,Lugo,9765.0,250263.63,
2014,Galicia,Orense,9307.0,234059.4,
2014,Galicia,Pontevedra,11383.0,293396.04,
2014,Galicia,Fuera de la C.A.,1508.0,38968.81,
2014,La Rioja,La Rioja,8481.0,215648.84,2738.0
2014,Madrid,Madrid,18555.0,419248.0,20432.0
2014,Murcia,Murcia,14610.0,400649.39,225.0
2014,Navarra,Navarra,23910.0,286920.0,
2014,País Vasco,Álava,7623.0,68846.83,
2014,País Vasco,Guipúzcoa,16940.0,168551.97,
2014,País Vasco,Vizcaya,13026.0,139593.24,
2013,Andalucía,Almería,21762.0,390796.0,49371.0
2013,Andalucía,Cádiz,23183.0,333484.0,51575.0
2013,Andalucía,Córdoba,40328.0,552910.0,85396.0
2013,Andalucía,Granada,30420.0,455955.0,66635.0
2013,Andalucía,Huelva,23666.0,375645.0,46393.0
2013,Andalucía,Jaén,31133.0,451959.0,62788.0
2013,Andalucía,Málaga,26089.0,406865.0,62208.0
2013,Andalucía,Sevilla,56198.0,787751.0,133919.0
2013,Aragón,Huesca,0.0,0.0,
2013,Aragón,Teruel,0.0,0.0,
2013,Aragón,Zaragoza,49375.0,1314828.99,
2013,Asturias,Asturias,7353.0,306943.3,11856.0
2013,Baleares,Baleares,14188.0,141130.9,33242.0
2013,C. Valenciana,Alicante,14263.0,178287.5,
2013,C. Valenciana,Castellón,16563.0,207037.5,
2013,C. Valenciana,Valencia,20402.0,255025.0,
2013,Canarias,Las Palmas,7206.0,,
2013,Canarias,Tenerife,9628.0,,
2013,Cantabria,Cantabria,5671.0,97952.66,2977.0
2013,Castilla y León,Ávila,6072.0,248568.0,472.0
2013,Castilla y León,Burgos,7885.0,324387.0,810.0
2013,Castilla y León,León,9326.0,359961.0,1613.0
2013,Castilla y León,Palencia,6330.0,250249.0,619.0
2013,Castilla y León,Salamanca,6007.0,238323.0,837.0
2013,Castilla y León,Segovia,3120.0,129193.0,361.0
2013,Castilla y León,Soria,4112.0,181695.0,344.0
2013,Castilla y León,Valladolid,52874.0,2148919.0,10510.0
2013,Castilla y León,Zamora,5894.0,213133.0,813.0
2013,Castilla-La Mancha,Albacete,13209.0,588239.83,7297.0
2013,Castilla-La Mancha,Ciudad Real,19798.0,878108.0,7707.0
2013,Castilla-La Mancha,Cuenca,15071.0,642302.95,4371.0
2013,Castilla-La Mancha,Guadalajara,13455.0,615036.51,2980.0
2013,Castilla-La Mancha,Toledo,27849.0,1225973.24,8397.0
2013,Cataluña,Barcelona,20887.0,498561.6,1055.0
2013,Cataluña,Gerona,13317.0,317037.0,577.0
2013,Cataluña,Lérida,12174.0,285668.9,553.0
2013,Cataluña,Tarragona,13434.0,317410.4,621.0
2013,Extremadura,Badajoz,34095.0,,25140.0
2013,Extremadura,Cáceres,20366.0,,15017.0
2013,Galicia,La Coruña,14786.0,381277.34,
2013,Galicia,Lugo,10161.0,262522.21,
2013,Galicia,Orense,9697.0,245131.38,
2013,Galicia,Pontevedra,11668.0,303361.42,
2013,La Rioja,La Rioja,8355.0,211374.34,3322.0
2013,Madrid,Madrid,15726.0,374528.25,19755.0
2013,Murcia,Murcia,11213.0,298344.67,7831.0
2013,Navarra,Navarra,25583.0,306996.0,
2013,País Vasco,Álava,7759.0,68438.0,
2013,País Vasco,Guipúzcoa,17262.0,177246.65,
2013,País Vasco,Vizcaya,13330.0,141903.44,
2012,Andalucía,Almería,22629.0,407964.56,45252.0
2012,Andalucía,Cádiz,22972.0,343710.42,47518.0
2012,Andalucía,Córdoba,41228.0,585053.68,81747.0
2012,Andalucía,Granada,30198.0,483484.44,61821.0
2012,Andalucía,Huelva,23959.0,394808.46,44291.0
2012,Andalucía,Jaén,32428.0,479091.1,58212.0
2012,Andalucía,Málaga,26427.0,431139.44,57004.0
2012,Andalucía,Sevilla,57213.0,840393.81,125044.0
2012,Aragón,Huesca,,,
2012,Aragón,Teruel,,,
