anio,ccaa,provincia,categoria,especie,n_produccion
2023,Andalucía,Almería,Caza Menor de Aves,Perdiz,42465.0
2023,Andalucía,Cádiz,Caza Menor de Aves,Perdiz,15924.0
2023,Andalucía,Córdoba,Caza Menor de Aves,Perdiz,50391.0
2023,Andalucía,Granada,Caza Menor de Aves,Perdiz,130863.0
2023,Andalucía,Huelva,Caza Menor de Aves,Perdiz,800.0
2023,Andalucía,Jaén,Caza Menor de Aves,Perdiz,53035.0
2023,Andalucía,Málaga,Caza Menor de Aves,Perdiz,10330.0
2023,Andalucía,Sevilla,Caza Menor de Aves,Perdiz,22200.0
2023,Aragón,Huesca,Caza Menor de Aves,Faisán,100.0
2023,Aragón,Huesca,Caza Menor de Aves,Perdiz,201699.0
2023,Aragón,Huesca,Caza Menor de Mamíferos,Conejo,600.0
2023,Aragón,Teruel,Caza Mayor,Ciervo,198.0
2023,Aragón,Teruel,Caza Menor de Aves,Perdiz,16000.0
2023,C. Valenciana,Castellón,Caza Menor de Aves,Perdiz,25801.0
2023,C. Valenciana,Valencia,Caza Mayor,Cabra montés,25.0
2023,C. Valenciana,Valencia,Caza Mayor,Ciervo,60.0
2023,C. Valenciana,Valencia,Caza Mayor,Jabalí,242.0
2023,C. Valenciana,Valencia,Caza Mayor,Muflón,6.0
2023,C. Valenciana,Valencia,Caza Menor de Aves,Paloma,18500.0
2023,C. Valenciana,Valencia,Caza Menor de Aves,Perdiz,42386.0
2023,Castilla-La Mancha,Albacete,Caza Menor de Aves,Perdiz,12285.0
2023,Castilla-La Mancha,Albacete,Caza Menor de Mamíferos,Conejo,2110.0
2023,Castilla-La Mancha,Ciudad Real,Caza Mayor,Ciervo,230.0
2023,Castilla-La Mancha,Ciudad Real,Caza Mayor,Jabalí,260.0
2023,Castilla-La Mancha,Ciudad Real,Caza Mayor,Muflón,40.0
2023,Castilla-La Mancha,Ciudad Real,Caza Menor de Aves,Perdiz,15230.0
2023,Castilla-La Mancha,Cuenca,Caza Menor de Aves,Faisán,50.0
2023,Castilla-La Mancha,Cuenca,Caza Menor de Aves,Paloma,500.0
2023,Castilla-La Mancha,Cuenca,Caza Menor de Aves,Perdiz,92528.0
2023,Castilla-La Mancha,Guadalajara,Caza Menor de Aves,Faisán,220.0
2023,Castilla-La Mancha,Guadalajara,Caza Menor de Aves,Perdiz,139420.0
2023,Castilla-La Mancha,Toledo,Caza Mayor,Ciervo,42.0
