anio,ccaa,provincia,tipo_procedencia,categoria,especie,n_sueltas
2023,Andalucía,Almería,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,1550.0
2023,Andalucía,Cádiz,OTRAS PROCEDENCIAS,Caza Mayor,Jabalí,294.0
2023,Andalucía,Cádiz,OTRAS PROCEDENCIAS,Caza Menor de Aves,Acuáticas y anátidas,1100.0
2023,Andalucía,Cádiz,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,380.0
2023,Andalucía,Cádiz,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,400.0
2023,Andalucía,Cádiz,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,1400.0
2023,Andalucía,Cádiz,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,2250.0
2023,Andalucía,Cádiz,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,1081.0
2023,Andalucía,Córdoba,OTRAS PROCEDENCIAS,Caza Mayor,Ciervo,120.0
2023,Andalucía,Córdoba,OTRAS PROCEDENCIAS,Caza Mayor,Gamo,15.0
2023,Andalucía,Córdoba,OTRAS PROCEDENCIAS,Caza Mayor,Muflón,42.0
2023,Andalucía,Córdoba,OTRAS PROCEDENCIAS,Caza Menor de Aves,Acuáticas y anátidas,500.0
2023,Andalucía,Córdoba,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,710.0
2023,Andalucía,Córdoba,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,500.0
2023,Andalucía,Córdoba,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,1400.0
2023,Andalucía,Córdoba,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,23717.0
2023,Andalucía,Córdoba,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,1507.0
2023,Andalucía,Granada,OTRAS PROCEDENCIAS,Caza Mayor,Cabra montés,2.0
2023,Andalucía,Granada,OTRAS PROCEDENCIAS,Caza Mayor,Ciervo,20.0
2023,Andalucía,Granada,OTRAS PROCEDENCIAS,Caza Mayor,Gamo,6.0
2023,Andalucía,Granada,OTRAS PROCEDENCIAS,Caza Mayor,Muflón,50.0
2023,Andalucía,Granada,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,63.0
2023,Andalucía,Granada,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,270.0
2023,Andalucía,Granada,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,36318.0
2023,Andalucía,Granada,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,10857.0
2023,Andalucía,Huelva,OTRAS PROCEDENCIAS,Caza Menor de Aves,Acuáticas y anátidas,300.0
2023,Andalucía,Huelva,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,300.0
2023,Andalucía,Huelva,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,500.0
2023,Andalucía,Huelva,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,4310.0
2023,Andalucía,Huelva,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,33420.0
2023,Andalucía,Huelva,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,966.0
2023,Andalucía,Jaén,OTRAS PROCEDENCIAS,Caza Mayor,Ciervo,42.0
2023,Andalucía,Jaén,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,20.0
2023,Andalucía,Jaén,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,495.0
2023,Andalucía,Jaén,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,350.0
2023,Andalucía,Jaén,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,24675.0
2023,Andalucía,Jaén,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,6940.0
2023,Andalucía,Málaga,OTRAS PROCEDENCIAS,Caza Mayor,Ciervo,27.0
2023,Andalucía,Málaga,OTRAS PROCEDENCIAS,Caza Menor de Aves,Acuáticas y anátidas,250.0
2023,Andalucía,Málaga,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,820.0
2023,Andalucía,Málaga,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,1710.0
2023,Andalucía,Málaga,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,800.0
2023,Andalucía,Málaga,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,26640.0
2023,Andalucía,Málaga,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,2008.0
2023,Andalucía,Sevilla,OTRAS PROCEDENCIAS,Caza Mayor,Ciervo,57.0
2023,Andalucía,Sevilla,OTRAS PROCEDENCIAS,Caza Mayor,Jabalí,40.0
2023,Andalucía,Sevilla,OTRAS PROCEDENCIAS,Caza Mayor,Muflón,105.0
2023,Andalucía,Sevilla,OTRAS PROCEDENCIAS,Caza Menor de Aves,Acuáticas y anátidas,3000.0
2023,Andalucía,Sevilla,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,5970.0
2023,Andalucía,Sevilla,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,79196.0
2023,Andalucía,Sevilla,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,3425.0
2023,Aragón,Huesca,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,3710.0
2023,Aragón,Teruel,OTRAS PROCEDENCIAS,Caza Mayor,Ciervo,175.0
2023,Aragón,Teruel,OTRAS PROCEDENCIAS,Caza Mayor,Gamo,160.0
2023,Aragón,Teruel,OTRAS PROCEDENCIAS,Caza Mayor,Muflón,100.0
2023,Aragón,Teruel,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,2450.0
2023,Aragón,Teruel,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,3350.0
2023,Aragón,Zaragoza,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,6.0
2023,Aragón,Zaragoza,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,14755.0
2023,Aragón,Zaragoza,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,1960.0
2023,Asturias,Asturias,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,6110.0
2023,Asturias,Asturias,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,1460.0
2023,Baleares,Baleares,ADMINISTRACIÓN,Caza Menor de Aves,Faisán,125.0
2023,Baleares,Baleares,ADMINISTRACIÓN,Caza Menor de Aves,Perdiz,40.0
2023,Baleares,Baleares,ADMINISTRACIÓN,Caza Menor de Mamíferos,Conejo,47.0
2023,Baleares,Baleares,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,1189.0
2023,Baleares,Baleares,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,6823.0
2023,Baleares,Baleares,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,1400.0
2023,C. Valenciana,Alicante,OTRAS PROCEDENCIAS,Caza Menor de Aves,Acuáticas y anátidas,1500.0
2023,C. Valenciana,Alicante,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,100.0
2023,C. Valenciana,Alicante,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,3156.0
2023,C. Valenciana,Alicante,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,400.0
2023,C. Valenciana,Castellón,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,500.0
2023,C. Valenciana,Castellón,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,2450.0
2023,C. Valenciana,Castellón,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,400.0
2023,C. Valenciana,Castellón,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,27547.0
2023,C. Valenciana,Castellón,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,470.0
2023,C. Valenciana,Valencia,OTRAS PROCEDENCIAS,Caza Mayor,Ciervo,26.0
2023,C. Valenciana,Valencia,OTRAS PROCEDENCIAS,Caza Mayor,Muflón,24.0
2023,C. Valenciana,Valencia,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,350.0
2023,C. Valenciana,Valencia,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,26265.0
2023,C. Valenciana,Valencia,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,1750.0
2023,Canarias,Las Palmas,ADMINISTRACIÓN,Caza Menor de Aves,Perdiz,4000.0
2023,Cantabria,Cantabria,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,300.0
2023,Cantabria,Cantabria,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,4969.0
2023,Cantabria,Cantabria,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,1650.0
2023,Castilla-La Mancha,Albacete,OTRAS PROCEDENCIAS,Caza Mayor,Corzo,30.0
2023,Castilla-La Mancha,Albacete,OTRAS PROCEDENCIAS,Caza Menor de Aves,Acuáticas y anátidas,7500.0
2023,Castilla-La Mancha,Albacete,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,3675.0
2023,Castilla-La Mancha,Albacete,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,3600.0
2023,Castilla-La Mancha,Albacete,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,2620.0
2023,Castilla-La Mancha,Albacete,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,289660.0
2023,Castilla-La Mancha,Albacete,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,150.0
2023,Castilla-La Mancha,Ciudad Real,ADMINISTRACIÓN,Caza Mayor,Ciervo,44.0
2023,Castilla-La Mancha,Ciudad Real,OTRAS PROCEDENCIAS,Caza Mayor,Ciervo,67.0
2023,Castilla-La Mancha,Ciudad Real,OTRAS PROCEDENCIAS,Caza Menor de Aves,Acuáticas y anátidas,22850.0
2023,Castilla-La Mancha,Ciudad Real,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,210.0
2023,Castilla-La Mancha,Ciudad Real,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,3085.0
2023,Castilla-La Mancha,Ciudad Real,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,5270.0
2023,Castilla-La Mancha,Ciudad Real,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,710130.0
2023,Castilla-La Mancha,Cuenca,OTRAS PROCEDENCIAS,Caza Menor de Aves,Acuáticas y anátidas,550.0
2023,Castilla-La Mancha,Cuenca,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,1330.0
2023,Castilla-La Mancha,Cuenca,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,3976.0
2023,Castilla-La Mancha,Cuenca,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,1150.0
2023,Castilla-La Mancha,Cuenca,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,37215.0
2023,Castilla-La Mancha,Guadalajara,OTRAS PROCEDENCIAS,Caza Menor de Aves,Acuáticas y anátidas,1100.0
2023,Castilla-La Mancha,Guadalajara,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,4310.0
2023,Castilla-La Mancha,Guadalajara,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,7070.0
2023,Castilla-La Mancha,Guadalajara,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,113410.0
2023,Castilla-La Mancha,Toledo,ADMINISTRACIÓN,Caza Mayor,Ciervo,10.0
2023,Castilla-La Mancha,Toledo,OTRAS PROCEDENCIAS,Caza Mayor,Ciervo,72.0
2023,Castilla-La Mancha,Toledo,OTRAS PROCEDENCIAS,Caza Mayor,Gamo,54.0
2023,Castilla-La Mancha,Toledo,OTRAS PROCEDENCIAS,Caza Mayor,Jabalí,30.0
2023,Castilla-La Mancha,Toledo,OTRAS PROCEDENCIAS,Caza Menor de Aves,Acuáticas y anátidas,9550.0
2023,Castilla-La Mancha,Toledo,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,7162.0
2023,Castilla-La Mancha,Toledo,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,34937.0
2023,Castilla-La Mancha,Toledo,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,25575.0
2023,Castilla-La Mancha,Toledo,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,726210.0
2023,Castilla-La Mancha,Toledo,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Liebre,150.0
2023,Cataluña,Barcelona,ADMINISTRACIÓN,Caza Menor de Aves,Faisán,11565.0
2023,Cataluña,Barcelona,ADMINISTRACIÓN,Caza Menor de Aves,Perdiz,40304.0
2023,Cataluña,Barcelona,ADMINISTRACIÓN,Caza Menor de Mamíferos,Conejo,7333.0
2023,Cataluña,Barcelona,ADMINISTRACIÓN,Caza Menor de Mamíferos,Liebre,28.0
2023,Cataluña,Gerona,ADMINISTRACIÓN,Caza Menor de Aves,Faisán,4778.0
2023,Cataluña,Gerona,ADMINISTRACIÓN,Caza Menor de Aves,Perdiz,21716.0
2023,Cataluña,Gerona,ADMINISTRACIÓN,Caza Menor de Mamíferos,Conejo,1412.0
2023,Cataluña,Gerona,ADMINISTRACIÓN,Caza Menor de Mamíferos,Liebre,126.0
2023,Cataluña,Lérida,ADMINISTRACIÓN,Caza Menor de Aves,Codorniz,100.0
2023,Cataluña,Lérida,ADMINISTRACIÓN,Caza Menor de Aves,Faisán,1090.0
2023,Cataluña,Lérida,ADMINISTRACIÓN,Caza Menor de Aves,Perdiz,39547.0
2023,Cataluña,Lérida,ADMINISTRACIÓN,Caza Menor de Mamíferos,Conejo,4181.0
2023,Cataluña,Lérida,ADMINISTRACIÓN,Caza Menor de Mamíferos,Liebre,83.0
2023,Cataluña,Tarragona,ADMINISTRACIÓN,Caza Menor de Aves,Faisán,2215.0
2023,Cataluña,Tarragona,ADMINISTRACIÓN,Caza Menor de Aves,Perdiz,36402.0
2023,Cataluña,Tarragona,ADMINISTRACIÓN,Caza Menor de Mamíferos,Conejo,2186.0
2023,Cataluña,Tarragona,ADMINISTRACIÓN,Caza Menor de Mamíferos,Liebre,48.0
2023,Extremadura,Cáceres,ADMINISTRACIÓN,Caza Mayor,Ciervo,44.0
2023,Extremadura,Cáceres,ADMINISTRACIÓN,Caza Mayor,Gamo,55.0
2023,Extremadura,Cáceres,ADMINISTRACIÓN,Caza Menor de Mamíferos,Conejo,10490.0
2023,Galicia,La Coruña,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,150.0
2023,Galicia,La Coruña,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,5495.0
2023,Galicia,La Coruña,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,33970.0
2023,Galicia,La Coruña,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,44760.0
2023,Galicia,Lugo,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,700.0
2023,Galicia,Lugo,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,1320.0
2023,Galicia,Lugo,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,28302.0
2023,Galicia,Lugo,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,5900.0
2023,Galicia,Orense,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,280.0
2023,Galicia,Orense,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,5970.0
2023,Galicia,Orense,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,10510.0
2023,Galicia,Pontevedra,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,100.0
2023,Galicia,Pontevedra,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,3285.0
2023,Galicia,Pontevedra,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,6533.0
2023,Galicia,Pontevedra,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,24290.0
2023,Madrid,Madrid,OTRAS PROCEDENCIAS,Caza Mayor,Ciervo,36.0
2023,Madrid,Madrid,OTRAS PROCEDENCIAS,Caza Mayor,Muflón,20.0
2023,Madrid,Madrid,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,4080.0
2023,Madrid,Madrid,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,6550.0
2023,Madrid,Madrid,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,354315.0
2023,Madrid,Madrid,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,9736.0
2023,Madrid,Madrid,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Liebre,200.0
2023,Murcia,Murcia,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,15000.0
2023,Murcia,Murcia,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,500.0
2023,País Vasco,Álava,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,500.0
2023,País Vasco,Álava,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,2520.0
2023,País Vasco,Vizcaya,ADMINISTRACIÓN,Caza Menor de Aves,Faisán,183.0
2023,País Vasco,Vizcaya,ADMINISTRACIÓN,Caza Menor de Aves,Perdiz,193.0
2022,Andalucía,Almería,OTRAS PROCEDENCIAS,Caza Mayor,Cabra montés,1.0
2022,Andalucía,Almería,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,600.0
2022,Andalucía,Cádiz,OTRAS PROCEDENCIAS,Caza Mayor,Corzo,36.0
2022,Andalucía,Cádiz,OTRAS PROCEDENCIAS,Caza Mayor,Jabalí,144.0
2022,Andalucía,Cádiz,OTRAS PROCEDENCIAS,Caza Menor de Aves,Acuáticas y anátidas,700.0
2022,Andalucía,Cádiz,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,60.0
2022,Andalucía,Cádiz,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,320.0
