anio,ccaa,provincia,tipo_coto,n_cotos,sup_ha
2023,Andalucía,Almería,Coto deportivo,7.0,13618.0
2023,Andalucía,Almería,Coto privado de caza,733.0,621650.0
2023,Andalucía,Almería,Coto intensivo de caza,1.0,619.0
2023,Andalucía,Cádiz,Coto deportivo,41.0,78131.0
2023,Andalucía,Cádiz,Coto privado de caza,773.0,481027.0
2023,Andalucía,Cádiz,Zona de caza controlada,1.0,132.0
2023,Andalucía,Córdoba,Coto deportivo,96.0,279481.0
2023,Andalucía,Córdoba,Coto privado de caza,1355.0,859241.0
2023,Andalucía,Granada,Coto deportivo,80.0,153120.0
2023,Andalucía,Granada,Coto privado de caza,1008.0,772416.0
2023,Andalucía,Granada,Coto intensivo de caza,3.0,3044.0
2023,Andalucía,Granada,Zona de caza controlada,1.0,22370.0
2023,Andalucía,Huelva,Coto deportivo,68.0,218899.0
2023,Andalucía,Huelva,Coto privado de caza,757.0,571800.0
2023,Andalucía,Huelva,Coto intensivo de caza,1.0,251.0
2023,Andalucía,Jaén,Coto deportivo,127.0,500392.0
2023,Andalucía,Jaén,Coto privado de caza,754.0,668408.0
2023,Andalucía,Jaén,Coto intensivo de caza,1.0,571.0
2023,Andalucía,Jaén,Reserva de caza,1.0,65499.0
2023,Andalucía,Málaga,Coto deportivo,132.0,304197.0
2023,Andalucía,Málaga,Coto privado de caza,316.0,188986.0
2023,Andalucía,Málaga,Coto intensivo de caza,1.0,386.0
2023,Andalucía,Málaga,Reserva de caza,2.0,32641.0
2023,Andalucía,Sevilla,Coto deportivo,117.0,315731.0
2023,Andalucía,Sevilla,Coto privado de caza,1172.0,812335.0
2023,Aragón,Huesca,Coto deportivo,320.0,790871.0
2023,Aragón,Huesca,Coto municipal,126.0,401108.0
2023,Aragón,Huesca,Coto privado de caza,96.0,108022.0
2023,Aragón,Huesca,Coto social,7.0,24020.0
2023,Aragón,Huesca,Coto intensivo de caza,13.0,3700.0
2023,Aragón,Huesca,Reserva de caza,5.0,137702.0
2023,Aragón,Huesca,Vedado de caza,23.0,19160.0
2023,Aragón,Teruel,Coto deportivo,189.0,895506.0
2023,Aragón,Teruel,Coto municipal,105.0,410814.0
2023,Aragón,Teruel,Coto privado de caza,54.0,64634.0
2023,Aragón,Teruel,Coto social,1.0,2287.0
2023,Aragón,Teruel,Coto intensivo de caza,7.0,1597.0
2023,Aragón,Teruel,Reserva de caza,3.0,58620.0
2023,Aragón,Teruel,Vedado de caza,1.0,19.0
2023,Aragón,Zaragoza,Coto deportivo,204.0,827244.0
2023,Aragón,Zaragoza,Coto municipal,153.0,575353.0
2023,Aragón,Zaragoza,Coto privado de caza,113.0,124068.0
2023,Aragón,Zaragoza,Coto social,2.0,3501.0
2023,Aragón,Zaragoza,Coto intensivo de caza,20.0,4153.0
2023,Aragón,Zaragoza,Vedado de caza,18.0,15453.0
2023,Asturias,Asturias,Coto privado de caza,1.0,604.0
2023,Asturias,Asturias,Coto regional / autonómico,52.0,726112.0
2023,Asturias,Asturias,Refugio de caza / fauna,17.0,30420.0
2023,Asturias,Asturias,Reserva de caza,10.0,208802.0
2023,Asturias,Asturias,Terreno cercado,3.0,3525.0
2023,Asturias,Asturias,Zona de seguridad,17.0,31982.0
2023,Baleares,Baleares,Coto privado de caza,2059.0,376142.0
2023,Baleares,Baleares,Coto intensivo de caza,5.0,1044.0
2023,Baleares,Baleares,Reserva de caza,100.0,11069.0
2023,C. Valenciana,Alicante,Coto deportivo,342.0,379775.0
2023,C. Valenciana,Alicante,Coto intensivo de caza,8.0,5278.0
